Middlesex County, Connecticut, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,28.1
201002,31.2
201003,44.0
201004,52.6
201005,61.2
201006,69.6
201007,76.0
201008,72.0
201009,66.8
201010,54.2
201011,43.0
201012,29.4
201101,24.6
201102,28.4
201103,38.1
201104,49.2
201105,59.6
201106,67.6
201107,75.0
201108,72.0
201109,67.3
201110,54.8
201111,46.9
201112,37.9
201201,32.7
201202,36.0
201203,45.9
201204,50.5
201205,61.4
201206,67.0
201207,74.7
201208,73.0
201209,64.5
201210,55.7
201211,40.2
201212,37.0
201301,29.9
201302,30.2
201303,37.0
201304,47.9
201305,58.4
201306,68.3
201307,76.6
201308,69.8
201309,62.8
201310,54.8
201311,41.0
201312,32.2
201401,24.8
201402,26.4
201403,31.8
201404,47.2
201405,58.6
201406,67.3
201407,72.7
201408,69.3
201409,64.8
201410,55.1
201411,40.8
201412,36.2
201501,24.6
201502,16.8
201503,32.3
201504,47.6
201505,62.4
201506,65.8
201507,73.2
201508,73.3
201509,68.8
201510,52.8
201511,46.9
201512,44.5
201601,30.7
201602,32.6
201603,43.7
201604,47.2
201605,58.2
201606,68.2
201607,74.8
201608,75.0
201609,67.4
201610,54.6
201611,44.5
201612,34.0
