Osceola County, Florida, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,54.8
201002,54.9
201003,60.7
201004,70.7
201005,78.9
201006,83.2
201007,83.6
201008,83.6
201009,81.5
201010,73.9
201011,67.6
201012,51.8
201101,59.2
201102,64.9
201103,68.3
201104,74.7
201105,77.5
201106,81.7
201107,82.8
201108,83.7
201109,81.1
201110,72.2
201111,69.2
201112,65.9
201201,61.2
201202,67.4
201203,71.7
201204,72.6
201205,78.2
201206,79.3
201207,82.4
201208,82.2
201209,80.4
201210,75.3
201211,64.4
201212,65.0
201301,66.6
201302,65.2
201303,61.1
201304,73.9
201305,75.2
201306,81.2
201307,81.2
201308,83.0
201309,80.7
201310,76.1
201311,71.5
201312,68.2
201401,58.5
201402,66.4
201403,66.7
201404,72.3
201405,77.6
201406,80.7
201407,82.7
201408,83.4
201409,80.8
201410,74.7
201411,64.5
201412,64.7
201501,62.0
201502,60.0
201503,72.3
201504,77.2
201505,78.6
201506,82.1
201507,82.9
201508,83.0
201509,81.4
201510,76.4
201511,75.2
201512,73.1
201601,59.9
201602,61.5
201603,71.2
201604,72.5
201605,77.2
201606,82.4
201607,84.6
201608,83.6
201609,81.9
201610,76.1
201611,68.5
201612,69.3
