Bleckley County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,43.0
201002,43.5
201003,52.6
201004,65.3
201005,74.3
201006,82.0
201007,83.4
201008,83.7
201009,77.8
201010,65.6
201011,55.1
201012,40.6
201101,42.5
201102,51.6
201103,58.5
201104,66.9
201105,73.3
201106,84.0
201107,83.1
201108,83.9
201109,74.9
201110,61.8
201111,56.4
201112,51.3
201201,50.9
201202,53.5
201203,66.3
201204,66.8
201205,74.9
201206,76.6
201207,83.5
201208,79.5
201209,75.1
201210,66.5
201211,53.8
201212,53.4
201301,54.5
201302,50.6
201303,51.1
201304,63.5
201305,69.0
201306,78.5
201307,79.3
201308,78.6
201309,75.5
201310,65.9
201311,53.2
201312,52.1
201401,40.8
201402,50.9
201403,53.7
201404,63.8
201405,72.4
201406,79.6
201407,80.0
201408,80.3
201409,76.8
201410,66.6
201411,50.8
201412,52.3
201501,45.7
201502,45.4
201503,59.8
201504,67.8
201505,73.6
201506,81.0
201507,83.0
201508,80.5
201509,74.8
201510,65.6
201511,60.1
201512,60.0
201601,46.0
201602,51.6
201603,61.7
201604,64.7
201605,72.2
201606,81.0
201607,84.4
201608,83.1
201609,78.8
201610,69.5
201611,60.2
201612,54.6
