Hall County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,37.7
201002,37.4
201003,48.5
201004,61.8
201005,69.7
201006,78.3
201007,80.1
201008,79.5
201009,73.7
201010,61.8
201011,51.4
201012,35.8
201101,38.2
201102,46.4
201103,52.8
201104,61.5
201105,67.8
201106,77.7
201107,80.5
201108,79.8
201109,70.2
201110,58.3
201111,52.1
201112,47.0
201201,44.8
201202,47.4
201203,61.1
201204,62.0
201205,70.2
201206,73.1
201207,80.2
201208,74.9
201209,70.3
201210,59.6
201211,49.4
201212,47.5
201301,46.6
201302,42.8
201303,45.4
201304,58.7
201305,64.0
201306,74.2
201307,74.7
201308,73.9
201309,70.4
201310,61.1
201311,47.9
201312,45.1
201401,34.0
201402,44.6
201403,48.6
201404,59.1
201405,67.5
201406,74.9
201407,74.9
201408,75.2
201409,72.1
201410,61.7
201411,45.8
201412,46.9
201501,40.2
201502,36.8
201503,53.7
201504,60.9
201505,68.8
201506,76.2
201507,78.7
201508,76.3
201509,70.1
201510,60.6
201511,54.3
201512,53.9
201601,39.6
201602,44.3
201603,56.6
201604,60.4
201605,67.0
201606,77.3
201607,80.6
201608,79.1
201609,75.7
201610,65.0
201611,54.9
201612,45.1
