Stewart County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,42.2
201002,42.5
201003,52.5
201004,65.1
201005,74.1
201006,81.1
201007,82.6
201008,82.5
201009,77.7
201010,65.5
201011,55.6
201012,40.7
201101,42.6
201102,51.4
201103,58.6
201104,66.1
201105,71.0
201106,81.9
201107,81.5
201108,82.5
201109,73.4
201110,62.0
201111,56.7
201112,51.5
201201,51.9
201202,54.0
201203,65.8
201204,65.4
201205,73.7
201206,76.0
201207,81.8
201208,78.3
201209,74.6
201210,65.0
201211,53.6
201212,52.6
201301,54.5
201302,49.5
201303,51.7
201304,63.7
201305,69.1
201306,78.3
201307,78.3
201308,78.6
201309,75.9
201310,66.1
201311,54.1
201312,51.8
201401,40.0
201402,50.9
201403,53.8
201404,62.5
201405,70.7
201406,78.8
201407,79.3
201408,79.8
201409,76.6
201410,66.2
201411,50.2
201412,52.1
201501,45.8
201502,44.4
201503,61.1
201504,67.7
201505,72.9
201506,78.8
201507,81.9
201508,79.8
201509,74.7
201510,65.0
201511,60.0
201512,59.0
201601,44.8
201602,51.0
201603,61.0
201604,63.3
201605,70.2
201606,79.8
201607,82.0
201608,81.2
201609,78.3
201610,68.5
201611,58.6
201612,53.0
