Wilkinson County, Georgia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,42.0
201002,42.5
201003,52.5
201004,65.2
201005,74.0
201006,81.7
201007,83.3
201008,83.0
201009,77.3
201010,64.9
201011,54.9
201012,40.2
201101,42.1
201102,51.4
201103,58.1
201104,66.6
201105,72.5
201106,82.9
201107,82.9
201108,83.3
201109,74.6
201110,61.6
201111,56.0
201112,51.0
201201,51.1
201202,53.9
201203,66.1
201204,66.7
201205,75.0
201206,76.8
201207,84.0
201208,79.4
201209,75.3
201210,66.6
201211,53.9
201212,53.2
201301,53.8
201302,49.4
201303,51.3
201304,63.8
201305,69.4
201306,78.6
201307,79.6
201308,78.4
201309,75.4
201310,66.0
201311,53.9
201312,52.2
201401,40.2
201402,50.0
201403,53.2
201404,63.5
201405,72.3
201406,79.1
201407,79.8
201408,79.9
201409,76.6
201410,66.4
201411,50.3
201412,51.8
201501,44.7
201502,43.9
201503,59.0
201504,67.4
201505,73.1
201506,80.7
201507,83.1
201508,80.4
201509,74.4
201510,64.6
201511,59.0
201512,59.4
201601,44.7
201602,50.8
201603,61.7
201604,64.3
201605,71.5
201606,80.6
201607,84.4
201608,82.9
201609,78.5
201610,68.7
201611,58.6
201612,52.5
