Floyd County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,11.0
201002,15.0
201003,37.2
201004,53.4
201005,59.1
201006,68.5
201007,73.2
201008,73.2
201009,61.3
201010,52.0
201011,35.8
201012,15.5
201101,11.6
201102,19.4
201103,31.1
201104,45.2
201105,57.8
201106,68.5
201107,75.9
201108,70.2
201109,59.0
201110,51.9
201111,38.1
201112,26.9
201201,23.4
201202,28.4
201203,49.3
201204,49.1
201205,63.4
201206,70.6
201207,77.9
201208,69.8
201209,61.0
201210,46.9
201211,37.7
201212,25.6
201301,18.7
201302,21.0
201303,25.4
201304,41.3
201305,57.0
201306,67.5
201307,71.5
201308,70.2
201309,65.0
201310,49.2
201311,31.5
201312,14.5
201401,8.8
201402,8.4
201403,25.5
201404,44.0
201405,58.2
201406,69.1
201407,67.9
201408,70.7
201409,60.9
201410,48.2
201411,26.6
201412,25.6
201501,18.8
201502,10.5
201503,34.0
201504,48.7
201505,58.8
201506,68.1
201507,70.6
201508,67.6
201509,67.7
201510,51.1
201511,39.9
201512,31.6
201601,16.4
201602,24.6
201603,39.5
201604,48.1
201605,58.5
201606,70.4
201607,71.4
201608,70.4
201609,65.4
201610,53.1
201611,43.6
201612,20.0
