Fremont County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,17.2
201002,21.6
201003,40.2
201004,57.9
201005,61.4
201006,74.4
201007,76.9
201008,77.3
201009,66.0
201010,56.9
201011,41.0
201012,25.2
201101,19.1
201102,26.7
201103,39.9
201104,51.9
201105,61.9
201106,72.7
201107,80.8
201108,75.0
201109,62.4
201110,56.3
201111,42.0
201112,32.0
201201,31.4
201202,32.4
201203,56.0
201204,57.6
201205,68.3
201206,74.1
201207,82.2
201208,73.9
201209,64.2
201210,51.7
201211,42.8
201212,31.2
201301,27.5
201302,28.9
201303,35.2
201304,46.7
201305,61.3
201306,71.4
201307,74.4
201308,74.7
201309,69.6
201310,52.6
201311,37.6
201312,21.1
201401,21.2
201402,21.1
201403,36.1
201404,51.3
201405,63.6
201406,72.2
201407,71.8
201408,73.8
201409,64.4
201410,55.3
201411,33.4
201412,31.3
201501,27.0
201502,20.8
201503,42.2
201504,53.5
201505,60.7
201506,72.2
201507,74.8
201508,71.6
201509,70.4
201510,56.2
201511,45.8
201512,34.4
201601,23.9
201602,34.8
201603,47.9
201604,54.1
201605,61.3
201606,76.5
201607,75.2
201608,74.1
201609,69.6
201610,57.9
201611,47.6
201612,25.8
