Harrison County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,13.6
201002,18.5
201003,38.2
201004,55.9
201005,60.0
201006,71.7
201007,75.0
201008,75.8
201009,64.6
201010,55.1
201011,38.0
201012,21.7
201101,15.7
201102,23.3
201103,37.0
201104,48.9
201105,60.1
201106,70.6
201107,78.8
201108,73.0
201109,60.8
201110,54.2
201111,39.2
201112,28.1
201201,28.6
201202,28.6
201203,53.7
201204,55.2
201205,66.0
201206,72.6
201207,80.7
201208,72.8
201209,63.6
201210,49.1
201211,40.3
201212,27.3
201301,23.0
201302,27.3
201303,32.0
201304,44.4
201305,59.2
201306,69.8
201307,73.1
201308,73.4
201309,68.2
201310,51.3
201311,35.6
201312,20.0
201401,18.9
201402,19.0
201403,33.4
201404,49.8
201405,61.8
201406,71.2
201407,70.4
201408,72.7
201409,63.6
201410,53.8
201411,31.6
201412,29.7
201501,25.0
201502,18.8
201503,41.2
201504,52.5
201505,60.0
201506,71.0
201507,73.6
201508,70.5
201509,69.2
201510,55.5
201511,42.9
201512,31.9
201601,21.1
201602,31.9
201603,44.8
201604,52.3
201605,60.0
201606,75.9
201607,74.4
201608,73.1
201609,68.1
201610,56.5
201611,45.4
201612,24.1
