Humboldt County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,10.6
201002,14.8
201003,35.5
201004,54.5
201005,59.4
201006,69.2
201007,73.8
201008,74.2
201009,61.8
201010,53.3
201011,36.0
201012,17.5
201101,12.3
201102,20.6
201103,32.5
201104,46.1
201105,58.3
201106,68.8
201107,76.3
201108,70.3
201109,59.4
201110,52.7
201111,37.8
201112,26.6
201201,24.8
201202,28.8
201203,49.8
201204,51.7
201205,64.1
201206,71.1
201207,77.8
201208,69.6
201209,61.4
201210,47.8
201211,37.8
201212,25.0
201301,18.8
201302,21.9
201303,26.8
201304,41.8
201305,57.3
201306,68.2
201307,72.4
201308,70.8
201309,66.4
201310,49.4
201311,32.0
201312,15.4
201401,12.3
201402,11.5
201403,27.5
201404,46.4
201405,59.0
201406,69.4
201407,67.9
201408,70.2
201409,60.9
201410,50.5
201411,27.4
201412,26.0
201501,19.7
201502,13.5
201503,36.9
201504,50.5
201505,58.6
201506,69.0
201507,71.0
201508,67.5
201509,67.3
201510,51.9
201511,40.2
201512,30.2
201601,17.2
201602,26.5
201603,41.0
201604,49.4
201605,58.8
201606,72.4
201607,71.8
201608,70.1
201609,65.5
201610,53.4
201611,44.4
201612,20.9
