Sac County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,11.5
201002,16.2
201003,36.2
201004,54.1
201005,58.6
201006,69.7
201007,73.5
201008,73.7
201009,61.7
201010,53.7
201011,35.8
201012,18.2
201101,12.5
201102,21.3
201103,33.6
201104,46.4
201105,58.4
201106,68.8
201107,76.8
201108,70.7
201109,59.6
201110,53.3
201111,37.2
201112,26.6
201201,25.8
201202,27.4
201203,50.6
201204,52.9
201205,64.5
201206,71.2
201207,78.4
201208,70.2
201209,62.2
201210,47.5
201211,38.5
201212,25.4
201301,19.5
201302,23.9
201303,28.3
201304,41.9
201305,57.3
201306,68.4
201307,72.1
201308,71.8
201309,67.0
201310,50.0
201311,33.0
201312,16.4
201401,14.9
201402,14.7
201403,29.9
201404,47.3
201405,59.5
201406,69.1
201407,67.8
201408,70.0
201409,61.4
201410,51.6
201411,28.1
201412,26.9
201501,21.3
201502,15.3
201503,38.2
201504,50.9
201505,58.2
201506,69.0
201507,71.3
201508,68.1
201509,67.4
201510,53.1
201511,41.1
201512,29.7
201601,18.1
201602,27.7
201603,41.9
201604,49.9
201605,59.1
201606,73.7
201607,72.4
201608,71.1
201609,66.1
201610,54.0
201611,44.4
201612,21.7
