Shoshone County, Idaho, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,31.1
201002,32.9
201003,36.4
201004,39.6
201005,44.3
201006,53.0
201007,61.2
201008,60.7
201009,52.5
201010,45.1
201011,30.2
201012,27.7
201101,26.1
201102,24.4
201103,33.1
201104,35.0
201105,45.2
201106,50.8
201107,59.7
201108,63.6
201109,58.3
201110,43.1
201111,30.1
201112,26.8
201201,27.4
201202,29.1
201203,33.3
201204,42.1
201205,46.5
201206,52.7
201207,65.2
201208,63.9
201209,57.1
201210,42.5
201211,34.5
201212,27.4
201301,25.6
201302,29.8
201303,34.3
201304,38.1
201305,49.7
201306,55.9
201307,66.5
201308,64.5
201309,55.9
201310,41.0
201311,32.4
201312,22.9
201401,29.6
201402,22.9
201403,34.1
201404,40.2
201405,50.1
201406,53.8
201407,67.0
201408,63.5
201409,55.5
201410,47.3
201411,30.1
201412,29.3
201501,30.8
201502,34.4
201503,39.4
201504,41.4
201505,52.4
201506,63.5
201507,64.8
201508,65.2
201509,53.3
201510,49.4
201511,31.2
201512,27.8
201601,29.6
201602,34.2
201603,36.3
201604,47.3
201605,50.5
201606,57.9
201607,60.9
201608,62.6
201609,52.1
201610,42.9
201611,38.6
201612,21.0
