Alexander County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,30.2
201002,33.0
201003,48.4
201004,61.8
201005,69.0
201006,80.5
201007,81.4
201008,81.0
201009,71.1
201010,60.1
201011,48.8
201012,31.2
201101,30.9
201102,38.1
201103,48.3
201104,60.2
201105,65.8
201106,78.3
201107,82.5
201108,78.1
201109,66.9
201110,58.2
201111,50.4
201112,40.6
201201,40.1
201202,43.1
201203,60.5
201204,60.6
201205,72.7
201206,75.8
201207,83.9
201208,77.7
201209,69.0
201210,56.4
201211,45.2
201212,43.7
201301,37.1
201302,38.2
201303,41.0
201304,55.4
201305,66.3
201306,75.5
201307,75.2
201308,75.4
201309,72.0
201310,59.2
201311,43.8
201312,34.8
201401,28.6
201402,31.3
201403,41.9
201404,58.3
201405,68.3
201406,76.1
201407,73.8
201408,77.8
201409,68.6
201410,59.7
201411,40.0
201412,39.9
201501,33.6
201502,27.5
201503,44.4
201504,59.7
201505,67.8
201506,76.7
201507,79.9
201508,75.0
201509,71.5
201510,59.1
201511,51.4
201512,47.3
201601,33.6
201602,40.3
201603,53.1
201604,59.1
201605,65.0
201606,78.3
201607,80.1
201608,78.8
201609,73.0
201610,63.8
201611,50.5
201612,36.7
