Douglas County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,21.4
201002,25.3
201003,43.9
201004,58.9
201005,64.8
201006,75.2
201007,77.4
201008,77.0
201009,67.9
201010,56.7
201011,43.9
201012,24.3
201101,22.9
201102,31.3
201103,42.5
201104,54.3
201105,62.5
201106,73.4
201107,79.7
201108,74.6
201109,64.4
201110,55.3
201111,46.8
201112,36.3
201201,32.4
201202,36.2
201203,55.7
201204,54.8
201205,69.0
201206,72.2
201207,81.8
201208,73.7
201209,65.0
201210,52.3
201211,41.1
201212,37.8
201301,29.6
201302,30.9
201303,34.9
201304,51.2
201305,64.8
201306,71.5
201307,72.5
201308,72.5
201309,69.4
201310,55.1
201311,39.0
201312,28.0
201401,20.0
201402,20.1
201403,35.3
201404,53.6
201405,64.1
201406,73.7
201407,70.0
201408,73.2
201409,64.7
201410,54.2
201411,34.8
201412,34.1
201501,26.0
201502,19.8
201503,37.4
201504,54.1
201505,66.1
201506,72.1
201507,73.6
201508,71.9
201509,70.1
201510,56.4
201511,46.9
201512,41.6
201601,27.6
201602,34.1
201603,48.3
201604,53.1
201605,61.8
201606,74.6
201607,75.1
201608,75.6
201609,71.1
201610,60.3
201611,47.8
201612,29.5
