Iroquois County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,20.0
201002,24.2
201003,42.6
201004,56.9
201005,63.4
201006,73.6
201007,76.5
201008,75.3
201009,66.8
201010,55.3
201011,41.8
201012,19.8
201101,21.4
201102,27.2
201103,39.8
201104,50.1
201105,61.0
201106,71.5
201107,78.4
201108,72.8
201109,62.8
201110,53.7
201111,44.7
201112,34.8
201201,30.2
201202,33.4
201203,54.6
201204,52.7
201205,66.6
201206,71.3
201207,79.6
201208,71.1
201209,63.9
201210,51.2
201211,39.6
201212,36.2
201301,27.5
201302,28.4
201303,32.8
201304,48.7
201305,63.9
201306,70.3
201307,71.8
201308,71.2
201309,67.8
201310,53.6
201311,37.5
201312,24.7
201401,15.7
201402,16.1
201403,32.3
201404,50.1
201405,62.3
201406,71.9
201407,68.4
201408,71.6
201409,63.4
201410,53.1
201411,33.4
201412,32.7
201501,21.8
201502,16.8
201503,35.6
201504,52.0
201505,64.1
201506,69.9
201507,72.4
201508,70.2
201509,69.1
201510,54.9
201511,45.4
201512,40.4
201601,25.4
201602,31.9
201603,45.8
201604,50.6
201605,60.6
201606,72.7
201607,74.4
201608,74.8
201609,70.2
201610,58.7
201611,47.4
201612,27.4
