Kosciusko County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,21.4
201002,24.6
201003,42.2
201004,55.0
201005,62.2
201006,71.3
201007,74.9
201008,73.7
201009,65.2
201010,54.7
201011,40.5
201012,22.7
201101,20.9
201102,25.1
201103,37.0
201104,48.6
201105,60.5
201106,70.5
201107,77.0
201108,70.9
201109,61.5
201110,52.7
201111,44.5
201112,34.2
201201,29.4
201202,32.6
201203,52.9
201204,50.2
201205,65.5
201206,70.0
201207,78.9
201208,69.4
201209,62.7
201210,50.9
201211,38.3
201212,35.8
201301,26.9
201302,27.2
201303,32.2
201304,47.6
201305,63.4
201306,69.2
201307,71.6
201308,69.6
201309,64.6
201310,52.4
201311,36.9
201312,25.0
201401,15.3
201402,17.7
201403,29.1
201404,48.8
201405,60.6
201406,71.7
201407,68.0
201408,70.9
201409,62.0
201410,51.5
201411,33.2
201412,32.0
201501,20.7
201502,14.6
201503,33.2
201504,49.5
201505,63.0
201506,68.7
201507,70.0
201508,69.2
201509,67.7
201510,53.8
201511,44.0
201512,40.0
201601,24.1
201602,30.8
201603,43.7
201604,49.3
201605,59.0
201606,70.5
201607,73.7
201608,74.2
201609,68.0
201610,56.8
201611,45.4
201612,25.7
