Monroe County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.8
201002,26.2
201003,44.4
201004,58.1
201005,64.3
201006,74.6
201007,76.4
201008,76.1
201009,68.0
201010,56.4
201011,43.1
201012,24.8
201101,25.0
201102,34.0
201103,43.7
201104,54.7
201105,62.1
201106,71.8
201107,78.8
201108,73.7
201109,64.4
201110,54.2
201111,47.5
201112,37.2
201201,33.4
201202,36.9
201203,56.0
201204,53.4
201205,68.1
201206,70.5
201207,81.4
201208,72.5
201209,64.2
201210,52.0
201211,39.6
201212,39.0
201301,30.6
201302,31.2
201303,35.9
201304,51.9
201305,64.4
201306,71.1
201307,72.0
201308,71.6
201309,67.4
201310,54.4
201311,39.4
201312,30.5
201401,20.5
201402,24.6
201403,36.2
201404,54.0
201405,63.4
201406,72.5
201407,69.3
201408,72.5
201409,63.7
201410,54.5
201411,35.6
201412,35.0
201501,27.2
201502,20.5
201503,38.9
201504,53.9
201505,64.8
201506,71.0
201507,73.2
201508,70.4
201509,68.5
201510,56.2
201511,47.1
201512,42.9
201601,27.7
201602,35.6
201603,48.5
201604,53.6
201605,60.3
201606,73.2
201607,74.5
201608,76.0
201609,70.3
201610,60.2
201611,47.4
201612,30.9
