Coffey County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.2
201002,29.3
201003,45.2
201004,59.9
201005,63.9
201006,77.2
201007,78.9
201008,79.5
201009,70.4
201010,59.8
201011,46.5
201012,31.1
201101,26.6
201102,29.4
201103,45.0
201104,56.4
201105,62.8
201106,77.0
201107,85.5
201108,81.1
201109,66.0
201110,58.8
201111,45.8
201112,36.6
201201,37.8
201202,39.7
201203,58.5
201204,61.8
201205,70.4
201206,76.8
201207,85.8
201208,77.6
201209,69.1
201210,55.9
201211,47.4
201212,37.6
201301,33.7
201302,34.5
201303,39.4
201304,49.7
201305,63.2
201306,74.0
201307,77.0
201308,75.9
201309,71.5
201310,56.3
201311,42.4
201312,29.7
201401,28.2
201402,27.5
201403,41.4
201404,55.3
201405,66.9
201406,73.6
201407,75.1
201408,80.2
201409,68.9
201410,59.7
201411,38.6
201412,36.2
201501,32.1
201502,29.4
201503,47.0
201504,58.4
201505,63.7
201506,76.8
201507,79.8
201508,75.2
201509,73.9
201510,59.4
201511,50.0
201512,41.2
201601,31.2
201602,42.0
201603,51.5
201604,59.1
201605,63.0
201606,79.3
201607,80.5
201608,78.2
201609,72.1
201610,62.4
201611,52.4
201612,32.2
