Greenwood County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,26.1
201002,30.5
201003,45.8
201004,60.5
201005,64.2
201006,77.4
201007,79.3
201008,79.6
201009,70.8
201010,59.7
201011,47.0
201012,32.2
201101,27.8
201102,31.1
201103,46.3
201104,57.2
201105,63.0
201106,77.6
201107,86.3
201108,82.6
201109,67.7
201110,59.0
201111,45.9
201112,36.7
201201,37.6
201202,39.4
201203,57.5
201204,61.6
201205,70.0
201206,75.8
201207,85.2
201208,77.9
201209,69.6
201210,56.3
201211,47.2
201212,37.2
201301,34.6
201302,34.2
201303,40.4
201304,50.0
201305,63.4
201306,74.2
201307,76.8
201308,76.4
201309,72.2
201310,56.4
201311,42.7
201312,29.8
201401,29.2
201402,28.4
201403,41.6
201404,55.4
201405,66.2
201406,73.4
201407,74.4
201408,79.5
201409,69.2
201410,60.4
201411,38.4
201412,36.6
201501,32.5
201502,30.8
201503,47.6
201504,58.8
201505,63.7
201506,76.6
201507,80.5
201508,75.4
201509,74.4
201510,59.8
201511,49.5
201512,40.6
201601,32.2
201602,41.8
201603,51.2
201604,58.8
201605,62.6
201606,78.4
201607,79.9
201608,78.1
201609,71.7
201610,63.1
201611,52.4
201612,32.2
