Rooks County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,26.8
201002,29.4
201003,43.5
201004,56.3
201005,60.0
201006,75.9
201007,79.8
201008,79.9
201009,70.4
201010,59.0
201011,41.9
201012,30.5
201101,26.8
201102,28.6
201103,41.8
201104,53.6
201105,60.8
201106,75.1
201107,83.8
201108,78.7
201109,64.8
201110,56.4
201111,42.0
201112,31.4
201201,35.1
201202,35.1
201203,54.4
201204,57.7
201205,67.7
201206,78.7
201207,84.5
201208,75.7
201209,66.7
201210,52.2
201211,45.2
201212,32.8
201301,29.6
201302,33.4
201303,39.3
201304,47.4
201305,62.7
201306,74.7
201307,77.5
201308,77.2
201309,72.4
201310,54.7
201311,40.7
201312,29.5
201401,29.7
201402,27.0
201403,40.4
201404,52.9
201405,63.2
201406,73.7
201407,76.0
201408,78.3
201409,67.5
201410,57.5
201411,37.6
201412,32.8
201501,31.1
201502,31.2
201503,46.6
201504,55.3
201505,60.3
201506,75.3
201507,78.3
201508,75.4
201509,75.2
201510,58.7
201511,44.8
201512,35.3
201601,31.4
201602,39.1
201603,48.6
201604,54.6
201605,60.2
201606,77.1
201607,79.2
201608,75.2
201609,69.4
201610,59.8
201611,48.4
201612,27.6
