Scott County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.6
201002,30.6
201003,42.8
201004,54.1
201005,60.0
201006,75.5
201007,79.3
201008,78.0
201009,70.4
201010,57.9
201011,41.4
201012,33.3
201101,28.6
201102,29.6
201103,41.8
201104,53.2
201105,60.7
201106,74.7
201107,83.6
201108,80.5
201109,65.7
201110,55.9
201111,41.2
201112,28.0
201201,35.0
201202,35.7
201203,51.7
201204,56.8
201205,66.7
201206,77.6
201207,82.1
201208,75.4
201209,67.5
201210,51.7
201211,45.4
201212,32.3
201301,31.0
201302,32.8
201303,40.7
201304,46.4
201305,62.9
201306,75.4
201307,77.3
201308,75.8
201309,71.4
201310,53.8
201311,40.6
201312,30.2
201401,30.9
201402,28.4
201403,40.5
201404,52.4
201405,62.4
201406,72.5
201407,75.9
201408,77.1
201409,68.2
201410,57.7
201411,38.8
201412,33.9
201501,32.6
201502,34.1
201503,46.6
201504,54.3
201505,59.9
201506,75.1
201507,78.1
201508,74.9
201509,73.2
201510,58.3
201511,43.1
201512,35.4
201601,33.2
201602,40.1
201603,47.7
201604,53.9
201605,60.3
201606,76.2
201607,79.3
201608,74.6
201609,69.7
201610,60.2
201611,47.2
201612,27.6
