Caddo Parish, Louisiana, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,43.2
201002,42.3
201003,53.8
201004,66.0
201005,76.3
201006,84.2
201007,83.6
201008,87.0
201009,80.3
201010,66.6
201011,56.4
201012,46.6
201101,43.9
201102,49.6
201103,59.3
201104,69.6
201105,72.4
201106,84.9
201107,87.6
201108,90.5
201109,77.1
201110,65.7
201111,57.7
201112,47.2
201201,51.6
201202,53.1
201203,65.4
201204,68.5
201205,75.7
201206,81.2
201207,83.6
201208,82.8
201209,76.9
201210,63.8
201211,55.7
201212,51.7
201301,48.6
201302,50.5
201303,53.9
201304,62.7
201305,71.2
201306,80.4
201307,81.0
201308,83.8
201309,80.2
201310,66.2
201311,52.0
201312,45.7
201401,42.3
201402,46.8
201403,53.0
201404,63.2
201405,70.8
201406,79.4
201407,79.4
201408,81.7
201409,77.8
201410,67.7
201411,51.2
201412,49.9
201501,44.1
201502,44.1
201503,55.7
201504,66.6
201505,72.8
201506,80.6
201507,84.9
201508,82.9
201509,78.9
201510,68.1
201511,59.0
201512,54.7
201601,46.6
201602,53.8
201603,61.3
201604,66.4
201605,71.6
201606,81.0
201607,84.8
201608,83.0
201609,79.5
201610,70.6
201611,60.7
201612,51.1
