Faribault County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,9.0
201002,13.1
201003,35.9
201004,53.6
201005,59.0
201006,67.8
201007,73.3
201008,74.0
201009,60.1
201010,52.3
201011,34.1
201012,14.7
201101,9.7
201102,17.4
201103,28.4
201104,44.6
201105,57.3
201106,68.8
201107,76.6
201108,70.5
201109,59.6
201110,52.2
201111,36.4
201112,25.9
201201,23.3
201202,27.3
201203,48.0
201204,49.6
201205,63.5
201206,71.1
201207,77.6
201208,69.7
201209,61.1
201210,46.6
201211,36.6
201212,22.7
201301,16.9
201302,18.6
201303,25.0
201304,39.3
201305,56.5
201306,68.1
201307,72.2
201308,70.3
201309,65.2
201310,48.3
201311,30.5
201312,13.3
201401,9.2
201402,8.8
201403,25.2
201404,43.8
201405,57.5
201406,69.0
201407,68.6
201408,70.5
201409,61.1
201410,48.7
201411,24.8
201412,23.8
201501,18.6
201502,11.2
201503,34.4
201504,48.8
201505,58.2
201506,68.5
201507,70.9
201508,67.7
201509,66.9
201510,51.0
201511,39.4
201512,28.3
201601,15.7
201602,24.4
201603,39.3
201604,48.2
201605,58.8
201606,70.7
201607,72.0
201608,70.4
201609,64.8
201610,51.8
201611,43.1
201612,18.9
