Lake County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.20
201002,0.41
201003,0.64
201004,0.43
201005,2.36
201006,4.80
201007,3.37
201008,4.02
201009,4.05
201010,3.13
201011,1.87
201012,1.67
201101,1.49
201102,0.46
201103,0.62
201104,2.49
201105,2.90
201106,5.27
201107,2.62
201108,2.47
201109,1.52
201110,1.29
201111,0.76
201112,0.71
201201,0.72
201202,1.39
201203,1.78
201204,2.91
201205,6.49
201206,7.10
201207,4.29
201208,1.69
201209,0.97
201210,2.86
201211,1.77
201212,1.17
201301,1.73
201302,1.16
201303,1.50
201304,3.95
201305,3.53
201306,5.38
201307,5.52
201308,2.44
201309,2.38
201310,3.35
201311,1.01
201312,2.92
201401,0.97
201402,1.76
201403,1.25
201404,3.25
201405,3.76
201406,6.08
201407,3.20
201408,3.34
201409,2.63
201410,1.65
201411,1.12
201412,1.44
201501,0.76
201502,0.71
201503,0.53
201504,1.49
201505,4.15
201506,4.13
201507,2.32
201508,5.08
201509,4.02
201510,2.54
201511,2.90
201512,3.62
201601,1.14
201602,1.74
201603,3.16
201604,2.26
201605,2.18
201606,5.78
201607,4.09
201608,3.25
201609,4.13
201610,1.91
201611,3.11
201612,2.37
