Martin County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,8.8
201002,13.8
201003,35.6
201004,53.4
201005,58.3
201006,67.8
201007,73.1
201008,73.6
201009,59.9
201010,52.7
201011,33.8
201012,14.6
201101,9.6
201102,17.2
201103,28.4
201104,44.5
201105,57.0
201106,68.4
201107,76.6
201108,70.8
201109,60.0
201110,52.8
201111,36.3
201112,25.9
201201,23.1
201202,26.7
201203,48.0
201204,50.1
201205,63.4
201206,71.0
201207,77.6
201208,70.1
201209,61.5
201210,46.7
201211,36.7
201212,22.1
201301,17.0
201302,19.1
201303,25.7
201304,39.3
201305,56.0
201306,68.2
201307,72.4
201308,70.3
201309,65.7
201310,48.6
201311,30.8
201312,12.4
201401,9.8
201402,9.2
201403,26.0
201404,43.8
201405,57.4
201406,68.6
201407,68.6
201408,70.2
201409,60.8
201410,49.3
201411,24.8
201412,23.5
201501,18.7
201502,11.6
201503,35.6
201504,48.9
201505,57.7
201506,68.4
201507,70.8
201508,67.9
201509,66.4
201510,50.9
201511,38.9
201512,27.4
201601,15.3
201602,23.8
201603,38.9
201604,47.9
201605,58.7
201606,71.2
201607,72.0
201608,70.1
201609,64.7
201610,51.6
201611,42.5
201612,18.9
