Rice County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,9.4
201002,14.3
201003,36.9
201004,53.1
201005,58.9
201006,66.8
201007,73.1
201008,73.0
201009,58.6
201010,51.3
201011,33.5
201012,14.1
201101,9.6
201102,18.0
201103,28.5
201104,44.5
201105,56.1
201106,67.4
201107,76.0
201108,69.9
201109,59.5
201110,51.9
201111,37.2
201112,25.6
201201,22.3
201202,27.0
201203,47.4
201204,48.1
201205,62.4
201206,69.5
201207,77.1
201208,68.6
201209,60.3
201210,45.3
201211,35.7
201212,22.5
201301,16.2
201302,16.9
201303,23.8
201304,38.2
201305,55.3
201306,66.5
201307,71.5
201308,69.8
201309,64.3
201310,47.3
201311,30.7
201312,12.6
201401,6.3
201402,6.6
201403,23.1
201404,42.1
201405,56.6
201406,68.0
201407,68.6
201408,70.5
201409,60.7
201410,47.2
201411,24.3
201412,23.8
201501,17.2
201502,10.0
201503,32.4
201504,47.4
201505,57.0
201506,67.1
201507,70.6
201508,67.4
201509,66.6
201510,50.3
201511,40.4
201512,29.6
201601,15.4
201602,23.7
201603,39.3
201604,47.5
201605,58.5
201606,69.4
201607,72.0
201608,70.6
201609,64.5
201610,51.3
201611,42.9
201612,19.1
