Waseca County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.58
201002,1.00
201003,1.35
201004,1.48
201005,3.06
201006,8.40
201007,6.05
201008,2.42
201009,11.49
201010,0.99
201011,2.30
201012,2.77
201101,0.76
201102,1.13
201103,1.72
201104,3.87
201105,4.15
201106,5.10
201107,6.53
201108,1.11
201109,0.94
201110,0.60
201111,0.23
201112,1.13
201201,0.66
201202,2.03
201203,1.45
201204,3.22
201205,6.30
201206,4.49
201207,2.17
201208,1.83
201209,0.84
201210,1.41
201211,0.55
201212,1.63
201301,0.59
201302,1.22
201303,2.60
201304,6.29
201305,6.54
201306,6.41
201307,5.01
201308,2.24
201309,1.63
201310,3.19
201311,0.74
201312,0.93
201401,0.90
201402,1.19
201403,0.99
201404,5.83
201405,2.49
201406,11.18
201407,1.18
201408,4.02
201409,2.36
201410,1.43
201411,0.83
201412,0.67
201501,0.50
201502,0.61
201503,0.90
201504,2.96
201505,4.84
201506,6.58
201507,6.39
201508,5.04
201509,4.74
201510,1.26
201511,3.82
201512,2.93
201601,0.40
201602,0.65
201603,2.03
201604,2.17
201605,3.92
201606,4.47
201607,8.08
201608,9.00
201609,11.25
201610,3.44
201611,1.32
201612,1.67
