Benton County, Missouri, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.61
201002,2.30
201003,3.10
201004,4.23
201005,7.14
201006,4.11
201007,7.28
201008,2.60
201009,9.24
201010,0.53
201011,2.41
201012,0.61
201101,0.91
201102,4.61
201103,2.71
201104,4.17
201105,6.78
201106,3.50
201107,1.22
201108,5.26
201109,2.22
201110,1.02
201111,6.00
201112,3.49
201201,0.54
201202,2.03
201203,4.98
201204,6.22
201205,1.47
201206,2.60
201207,1.21
201208,2.27
201209,4.68
201210,2.95
201211,1.44
201212,1.20
201301,3.29
201302,3.29
201303,3.36
201304,6.82
201305,5.93
201306,4.24
201307,2.04
201308,4.48
201309,2.65
201310,3.78
201311,2.77
201312,1.48
201401,0.69
201402,0.91
201403,1.32
201404,4.62
201405,1.83
201406,6.67
201407,1.57
201408,3.81
201409,4.75
201410,7.67
201411,1.49
201412,2.32
201501,0.55
201502,1.24
201503,1.89
201504,3.22
201505,6.87
201506,6.43
201507,8.53
201508,3.07
201509,2.47
201510,1.30
201511,8.39
201512,6.45
201601,0.97
201602,0.51
201603,1.77
201604,4.20
201605,5.06
201606,1.87
201607,8.56
201608,5.23
201609,5.11
201610,2.27
201611,1.31
201612,0.61
