Pettis County, Missouri, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.01
201002,1.82
201003,2.53
201004,5.26
201005,6.37
201006,3.69
201007,6.98
201008,2.39
201009,9.07
201010,0.39
201011,2.62
201012,0.72
201101,0.84
201102,3.37
201103,2.02
201104,4.62
201105,5.13
201106,3.93
201107,1.71
201108,4.89
201109,2.14
201110,0.63
201111,5.87
201112,3.21
201201,0.58
201202,2.63
201203,5.39
201204,5.29
201205,1.78
201206,1.95
201207,1.20
201208,1.83
201209,3.81
201210,3.51
201211,1.62
201212,1.26
201301,3.15
201302,2.96
201303,3.01
201304,7.11
201305,8.76
201306,3.57
201307,1.94
201308,3.02
201309,3.16
201310,3.28
201311,2.46
201312,1.54
201401,0.56
201402,1.12
201403,1.11
201404,5.82
201405,2.25
201406,6.75
201407,1.93
201408,4.43
201409,2.96
201410,7.58
201411,1.08
201412,1.99
201501,0.71
201502,1.33
201503,1.54
201504,3.57
201505,7.36
201506,7.51
201507,6.64
201508,3.22
201509,1.71
201510,1.56
201511,7.77
201512,6.00
201601,1.05
201602,0.40
201603,1.84
201604,3.48
201605,4.97
201606,2.77
201607,8.94
201608,4.36
201609,4.62
201610,2.28
201611,1.11
201612,0.99
