Ripley County, Missouri, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.78
201002,1.58
201003,3.68
201004,3.56
201005,6.73
201006,1.32
201007,4.52
201008,1.90
201009,2.94
201010,0.47
201011,4.42
201012,1.12
201101,1.19
201102,6.02
201103,5.21
201104,15.99
201105,11.18
201106,3.37
201107,3.34
201108,3.78
201109,3.41
201110,1.35
201111,11.57
201112,6.32
201201,3.30
201202,2.87
201203,4.24
201204,1.79
201205,1.36
201206,1.86
201207,2.35
201208,3.44
201209,5.42
201210,2.13
201211,2.08
201212,2.87
201301,6.41
201302,4.16
201303,2.81
201304,5.94
201305,6.02
201306,6.46
201307,3.68
201308,6.05
201309,1.52
201310,5.14
201311,4.25
201312,7.21
201401,2.25
201402,1.17
201403,3.04
201404,9.71
201405,4.80
201406,7.05
201407,1.78
201408,1.71
201409,2.87
201410,5.75
201411,2.20
201412,2.83
201501,3.97
201502,3.02
201503,8.56
201504,5.17
201505,8.14
201506,3.76
201507,6.28
201508,4.21
201509,2.38
201510,1.73
201511,11.11
201512,8.81
201601,0.88
201602,2.09
201603,5.45
201604,4.17
201605,7.42
201606,3.93
201607,4.27
201608,13.12
201609,3.96
201610,0.98
201611,3.34
201612,2.25
