Holmes County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,40.3
201002,40.3
201003,52.7
201004,65.8
201005,74.6
201006,82.9
201007,83.1
201008,84.7
201009,77.3
201010,65.0
201011,56.0
201012,42.4
201101,41.9
201102,49.4
201103,57.3
201104,67.3
201105,70.6
201106,82.3
201107,83.0
201108,83.1
201109,72.1
201110,61.7
201111,56.5
201112,47.0
201201,51.1
201202,51.3
201203,65.8
201204,66.0
201205,74.8
201206,77.6
201207,82.2
201208,79.8
201209,75.2
201210,62.3
201211,51.8
201212,52.0
201301,49.1
201302,48.6
201303,50.4
201304,62.5
201305,69.4
201306,79.2
201307,79.3
201308,80.8
201309,78.0
201310,65.3
201311,50.6
201312,46.1
201401,38.6
201402,45.5
201403,51.3
201404,62.9
201405,71.4
201406,79.0
201407,77.3
201408,80.0
201409,77.1
201410,66.9
201411,48.7
201412,50.0
201501,43.6
201502,41.2
201503,57.3
201504,67.2
201505,72.5
201506,79.2
201507,82.9
201508,80.6
201509,77.8
201510,67.4
201511,59.8
201512,56.9
201601,43.2
201602,51.0
201603,60.3
201604,65.9
201605,70.7
201606,80.5
201607,83.0
201608,82.7
201609,79.8
201610,69.6
201611,58.0
201612,48.9
