Neshoba County, Mississippi, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.51
201002,3.67
201003,4.48
201004,2.63
201005,5.50
201006,2.49
201007,2.48
201008,3.69
201009,0.53
201010,3.09
201011,6.62
201012,1.27
201101,6.42
201102,2.18
201103,7.06
201104,6.25
201105,2.39
201106,4.67
201107,6.82
201108,1.14
201109,11.53
201110,0.77
201111,2.86
201112,5.71
201201,3.26
201202,6.00
201203,7.16
201204,1.82
201205,3.78
201206,3.57
201207,7.74
201208,7.12
201209,2.91
201210,2.98
201211,2.88
201212,7.21
201301,8.06
201302,7.53
201303,5.57
201304,6.22
201305,7.00
201306,5.09
201307,4.06
201308,2.80
201309,6.06
201310,1.52
201311,6.08
201312,5.64
201401,2.27
201402,5.63
201403,5.90
201404,13.94
201405,3.26
201406,5.06
201407,2.03
201408,4.15
201409,2.13
201410,2.72
201411,3.90
201412,7.36
201501,5.12
201502,5.17
201503,5.51
201504,4.62
201505,4.87
201506,4.17
201507,4.69
201508,2.05
201509,1.07
201510,4.84
201511,8.94
201512,5.71
201601,2.82
201602,7.69
201603,9.02
201604,5.57
201605,1.69
201606,4.02
201607,4.64
201608,5.15
201609,0.60
201610,0.63
201611,3.12
201612,2.89
