Newton County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,40.2
201002,40.3
201003,51.4
201004,64.0
201005,73.8
201006,81.2
201007,82.1
201008,82.7
201009,75.9
201010,63.8
201011,55.1
201012,42.0
201101,42.6
201102,49.9
201103,57.5
201104,66.4
201105,69.8
201106,81.5
201107,81.8
201108,82.2
201109,72.0
201110,60.0
201111,55.2
201112,49.0
201201,50.8
201202,52.5
201203,64.7
201204,65.3
201205,73.6
201206,77.6
201207,81.0
201208,78.4
201209,73.2
201210,61.5
201211,50.7
201212,50.7
201301,49.4
201302,48.6
201303,50.1
201304,62.0
201305,68.2
201306,78.3
201307,78.3
201308,78.9
201309,75.5
201310,64.9
201311,50.8
201312,47.4
201401,38.0
201402,47.0
201403,52.0
201404,62.2
201405,69.9
201406,77.9
201407,77.4
201408,79.1
201409,76.4
201410,66.2
201411,48.8
201412,50.6
201501,44.3
201502,42.8
201503,58.1
201504,66.5
201505,71.6
201506,78.5
201507,82.2
201508,80.0
201509,75.4
201510,65.8
201511,59.0
201512,57.0
201601,44.3
201602,51.4
201603,59.8
201604,64.6
201605,70.2
201606,79.6
201607,82.0
201608,82.0
201609,78.9
201610,68.7
201611,57.2
201612,49.7
