Beaufort County, North Carolina, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.75
201002,4.45
201003,3.98
201004,0.88
201005,3.30
201006,3.47
201007,4.23
201008,5.49
201009,14.32
201010,4.55
201011,1.16
201012,2.62
201101,2.97
201102,2.72
201103,3.91
201104,2.66
201105,1.10
201106,1.78
201107,3.37
201108,17.70
201109,7.23
201110,1.60
201111,2.73
201112,0.78
201201,2.79
201202,3.01
201203,4.38
201204,2.75
201205,8.63
201206,2.08
201207,8.09
201208,7.43
201209,5.72
201210,5.44
201211,0.91
201212,5.48
201301,2.05
201302,4.64
201303,1.40
201304,3.35
201305,2.86
201306,10.34
201307,5.28
201308,5.78
201309,4.04
201310,3.08
201311,3.21
201312,4.66
201401,3.82
201402,3.78
201403,5.10
201404,4.18
201405,2.83
201406,8.29
201407,5.69
201408,5.77
201409,6.59
201410,2.43
201411,3.26
201412,4.70
201501,5.09
201502,4.12
201503,3.87
201504,4.22
201505,3.48
201506,7.21
201507,4.83
201508,3.63
201509,6.77
201510,6.40
201511,6.19
201512,5.54
201601,3.71
201602,7.13
201603,3.12
201604,3.51
201605,6.05
201606,7.05
201607,7.19
201608,5.65
201609,13.02
201610,9.35
201611,1.16
201612,3.70
