Haywood County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,28.2
201002,28.6
201003,39.1
201004,53.0
201005,61.0
201006,68.3
201007,70.2
201008,70.2
201009,62.7
201010,51.0
201011,43.0
201012,26.1
201101,28.8
201102,37.9
201103,44.5
201104,53.9
201105,58.6
201106,66.9
201107,70.2
201108,67.9
201109,61.6
201110,49.6
201111,44.0
201112,39.0
201201,36.5
201202,38.9
201203,51.0
201204,53.0
201205,61.5
201206,64.1
201207,70.3
201208,65.8
201209,61.0
201210,50.9
201211,39.5
201212,39.6
201301,38.2
201302,34.6
201303,35.5
201304,50.2
201305,56.5
201306,65.2
201307,67.0
201308,65.4
201309,61.6
201310,53.1
201311,39.4
201312,38.2
201401,25.3
201402,35.6
201403,39.7
201404,51.3
201405,58.7
201406,66.2
201407,65.2
201408,65.4
201409,63.8
201410,52.5
201411,36.9
201412,39.6
201501,31.8
201502,27.6
201503,44.9
201504,52.7
201505,60.5
201506,66.6
201507,68.6
201508,66.3
201509,62.0
201510,52.9
201511,46.7
201512,46.6
201601,29.7
201602,35.5
201603,47.1
201604,51.6
201605,57.4
201606,66.7
201607,70.4
201608,69.8
201609,65.4
201610,54.9
201611,45.0
201612,38.2
