Mitchell County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,27.8
201002,27.9
201003,39.8
201004,54.3
201005,61.5
201006,69.6
201007,71.5
201008,71.0
201009,64.1
201010,52.2
201011,43.6
201012,25.3
201101,28.5
201102,38.5
201103,44.4
201104,54.7
201105,59.2
201106,68.2
201107,71.0
201108,68.8
201109,62.2
201110,50.1
201111,45.2
201112,39.3
201201,36.8
201202,39.0
201203,52.4
201204,53.5
201205,62.0
201206,65.0
201207,71.6
201208,66.7
201209,61.6
201210,51.0
201211,40.6
201212,39.8
201301,38.2
201302,34.2
201303,34.4
201304,50.3
201305,56.9
201306,65.7
201307,67.8
201308,66.5
201309,61.8
201310,52.6
201311,39.7
201312,37.7
201401,25.7
201402,35.7
201403,40.1
201404,52.3
201405,59.7
201406,67.2
201407,66.1
201408,66.5
201409,63.7
201410,52.5
201411,36.9
201412,39.8
201501,31.9
201502,26.4
201503,44.6
201504,52.9
201505,61.2
201506,68.3
201507,69.5
201508,67.6
201509,62.9
201510,52.8
201511,47.2
201512,47.5
201601,30.3
201602,34.4
201603,48.7
201604,51.9
201605,57.2
201606,67.5
201607,71.8
201608,70.8
201609,66.4
201610,55.8
201611,46.6
201612,37.9
