Dunn County, North Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.59
201002,0.35
201003,0.65
201004,1.07
201005,4.34
201006,3.93
201007,2.22
201008,1.30
201009,3.55
201010,0.58
201011,0.82
201012,0.88
201101,0.65
201102,0.30
201103,0.81
201104,1.98
201105,6.95
201106,2.21
201107,3.99
201108,1.52
201109,1.41
201110,0.75
201111,0.06
201112,0.38
201201,0.41
201202,0.27
201203,0.09
201204,2.00
201205,2.32
201206,2.58
201207,1.66
201208,1.67
201209,0.13
201210,2.14
201211,0.52
201212,0.53
201301,0.22
201302,0.18
201303,0.68
201304,0.95
201305,8.19
201306,2.51
201307,2.31
201308,2.76
201309,2.61
201310,3.79
201311,0.19
201312,0.87
201401,0.17
201402,0.23
201403,0.74
201404,1.41
201405,4.18
201406,3.69
201407,0.94
201408,6.62
201409,1.28
201410,0.91
201411,0.31
201412,0.38
201501,0.55
201502,0.47
201503,0.43
201504,0.65
201505,2.00
201506,4.42
201507,2.23
201508,1.87
201509,1.46
201510,1.71
201511,0.24
201512,0.33
201601,0.21
201602,0.32
201603,0.58
201604,3.24
201605,2.09
201606,2.09
201607,3.92
201608,1.48
201609,3.83
201610,1.44
201611,0.50
201612,0.71
