McLean County, North Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.77
201002,0.51
201003,0.79
201004,1.93
201005,3.46
201006,4.25
201007,3.27
201008,2.43
201009,4.27
201010,0.60
201011,0.66
201012,1.66
201101,0.85
201102,0.30
201103,1.62
201104,1.17
201105,3.86
201106,2.73
201107,4.35
201108,2.15
201109,2.04
201110,1.13
201111,0.09
201112,0.41
201201,0.18
201202,0.55
201203,0.42
201204,2.54
201205,1.82
201206,3.09
201207,1.91
201208,1.25
201209,0.15
201210,2.20
201211,0.68
201212,0.59
201301,0.21
201302,0.48
201303,0.90
201304,1.31
201305,5.66
201306,4.38
201307,2.17
201308,2.27
201309,2.98
201310,3.10
201311,0.29
201312,1.04
201401,0.34
201402,0.14
201403,0.46
201404,1.84
201405,3.02
201406,4.72
201407,1.43
201408,5.92
201409,1.07
201410,0.58
201411,0.52
201412,0.04
201501,0.54
201502,0.47
201503,0.49
201504,0.62
201505,3.08
201506,3.80
201507,3.23
201508,1.02
201509,1.91
201510,1.38
201511,0.19
201512,0.40
201601,0.19
201602,0.35
201603,0.34
201604,2.66
201605,2.14
201606,1.80
201607,3.92
201608,1.13
201609,3.27
201610,0.89
201611,0.81
201612,1.84
