Dakota County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,13.6
201002,17.5
201003,38.4
201004,54.8
201005,59.9
201006,71.6
201007,75.2
201008,75.5
201009,63.8
201010,54.2
201011,36.6
201012,19.8
201101,13.6
201102,21.8
201103,34.8
201104,47.4
201105,59.4
201106,69.7
201107,79.7
201108,73.1
201109,59.7
201110,54.0
201111,37.5
201112,27.0
201201,26.6
201202,27.6
201203,52.2
201204,54.3
201205,65.1
201206,72.7
201207,80.8
201208,72.4
201209,63.0
201210,47.2
201211,37.9
201212,25.2
201301,20.7
201302,24.7
201303,30.4
201304,42.5
201305,58.2
201306,69.2
201307,73.3
201308,72.7
201309,67.6
201310,49.6
201311,33.8
201312,17.4
201401,17.5
201402,17.4
201403,31.9
201404,48.4
201405,60.5
201406,70.2
201407,69.9
201408,71.8
201409,63.2
201410,52.2
201411,30.0
201412,27.0
201501,23.0
201502,18.2
201503,40.3
201504,51.2
201505,59.0
201506,70.8
201507,73.2
201508,69.8
201509,68.0
201510,54.3
201511,40.8
201512,29.6
201601,20.1
201602,29.9
201603,43.2
201604,50.5
201605,59.9
201606,74.9
201607,75.0
201608,73.2
201609,66.8
201610,54.4
201611,44.5
201612,23.5
