Deuel County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,28.0
201002,25.9
201003,39.7
201004,49.3
201005,54.8
201006,68.9
201007,74.8
201008,74.5
201009,63.9
201010,53.4
201011,36.5
201012,30.6
201101,25.8
201102,24.3
201103,39.4
201104,47.0
201105,53.5
201106,67.5
201107,77.4
201108,75.4
201109,61.6
201110,51.9
201111,38.5
201112,29.0
201201,31.0
201202,29.8
201203,49.0
201204,53.5
201205,61.2
201206,74.4
201207,78.9
201208,73.6
201209,64.3
201210,48.2
201211,41.4
201212,28.6
201301,27.1
201302,29.9
201303,37.2
201304,41.8
201305,58.2
201306,69.3
201307,73.3
201308,73.7
201309,67.8
201310,47.3
201311,37.1
201312,26.4
201401,29.3
201402,20.1
201403,37.3
201404,47.6
201405,57.5
201406,66.8
201407,73.0
201408,72.3
201409,63.3
201410,53.4
201411,32.7
201412,27.2
201501,28.3
201502,31.7
201503,44.1
201504,49.4
201505,54.1
201506,69.8
201507,74.0
201508,71.7
201509,68.2
201510,53.6
201511,37.7
201512,27.9
201601,27.6
201602,35.8
201603,43.6
201604,48.6
201605,55.8
201606,72.3
201607,74.3
201608,71.0
201609,64.2
201610,55.3
201611,43.2
201612,25.3
