Dodge County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,15.1
201002,19.5
201003,38.8
201004,55.2
201005,59.6
201006,71.8
201007,75.5
201008,76.2
201009,65.0
201010,55.4
201011,38.1
201012,23.0
201101,16.4
201102,24.6
201103,36.9
201104,48.9
201105,60.1
201106,70.5
201107,79.3
201108,73.3
201109,60.8
201110,54.8
201111,39.1
201112,28.6
201201,29.5
201202,28.5
201203,53.6
201204,55.2
201205,66.0
201206,73.4
201207,81.9
201208,73.3
201209,64.5
201210,48.8
201211,40.2
201212,27.6
201301,23.7
201302,27.4
201303,32.4
201304,44.3
201305,59.4
201306,70.1
201307,74.1
201308,74.2
201309,69.0
201310,51.6
201311,35.9
201312,20.8
201401,21.1
201402,20.4
201403,34.2
201404,50.5
201405,61.9
201406,71.4
201407,71.0
201408,73.2
201409,64.1
201410,54.4
201411,32.2
201412,29.6
201501,26.3
201502,20.6
201503,42.1
201504,52.3
201505,59.6
201506,71.2
201507,74.2
201508,71.0
201509,69.4
201510,56.1
201511,43.4
201512,31.8
201601,22.4
201602,32.0
201603,45.6
201604,52.5
201605,60.6
201606,76.2
201607,75.3
201608,73.6
201609,67.8
201610,56.2
201611,45.7
201612,24.6
