Greeley County, Nebraska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.36
201002,0.68
201003,1.68
201004,2.03
201005,3.66
201006,10.63
201007,4.02
201008,1.65
201009,1.83
201010,1.10
201011,0.22
201012,0.25
201101,1.37
201102,0.37
201103,1.26
201104,2.88
201105,6.88
201106,4.05
201107,3.71
201108,3.76
201109,0.71
201110,3.22
201111,0.07
201112,0.55
201201,0.12
201202,1.54
201203,0.69
201204,3.64
201205,3.62
201206,0.60
201207,0.26
201208,1.27
201209,0.31
201210,0.38
201211,0.15
201212,0.69
201301,0.21
201302,0.75
201303,0.75
201304,3.53
201305,6.11
201306,2.47
201307,2.00
201308,4.59
201309,2.66
201310,4.05
201311,0.68
201312,0.04
201401,0.09
201402,0.27
201403,0.24
201404,2.70
201405,0.77
201406,8.01
201407,2.27
201408,5.13
201409,2.17
201410,1.19
201411,0.19
201412,1.40
201501,0.09
201502,0.61
201503,0.11
201504,2.58
201505,3.56
201506,3.90
201507,2.24
201508,3.35
201509,3.31
201510,1.30
201511,2.79
201512,1.25
201601,0.35
201602,0.93
201603,1.19
201604,7.20
201605,4.72
201606,1.37
201607,5.02
201608,1.39
201609,1.66
201610,0.47
201611,1.32
201612,0.48
