Hayes County, Nebraska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.07
201002,0.61
201003,1.96
201004,3.15
201005,2.68
201006,6.08
201007,3.35
201008,3.66
201009,1.17
201010,0.75
201011,0.60
201012,0.30
201101,0.41
201102,0.62
201103,0.60
201104,2.80
201105,5.59
201106,4.75
201107,3.49
201108,3.79
201109,0.69
201110,1.35
201111,0.17
201112,0.34
201201,0.08
201202,0.77
201203,0.42
201204,3.11
201205,1.26
201206,1.67
201207,2.15
201208,0.45
201209,0.23
201210,0.54
201211,0.00
201212,0.58
201301,0.17
201302,0.76
201303,0.48
201304,2.22
201305,4.00
201306,1.56
201307,2.04
201308,2.55
201309,2.33
201310,0.82
201311,0.52
201312,0.16
201401,0.33
201402,0.81
201403,0.40
201404,1.08
201405,3.26
201406,7.74
201407,1.07
201408,3.45
201409,1.17
201410,0.43
201411,0.02
201412,1.10
201501,0.05
201502,0.27
201503,0.07
201504,3.01
201505,6.02
201506,3.73
201507,2.44
201508,2.73
201509,0.69
201510,1.53
201511,1.85
201512,0.26
201601,0.12
201602,0.84
201603,0.41
201604,5.33
201605,3.47
201606,1.48
201607,2.35
201608,1.61
201609,1.50
201610,0.46
201611,0.63
201612,0.59
