Otoe County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,17.7
201002,22.1
201003,40.5
201004,57.3
201005,60.9
201006,74.1
201007,77.0
201008,77.4
201009,66.2
201010,56.6
201011,40.8
201012,25.7
201101,18.8
201102,26.7
201103,39.9
201104,51.9
201105,61.7
201106,72.2
201107,80.8
201108,75.2
201109,62.1
201110,56.2
201111,41.4
201112,31.7
201201,31.3
201202,32.1
201203,55.5
201204,57.4
201205,68.0
201206,74.1
201207,82.4
201208,73.8
201209,64.4
201210,51.3
201211,42.9
201212,30.4
201301,27.2
201302,29.4
201303,35.3
201304,46.4
201305,61.1
201306,71.4
201307,74.3
201308,74.8
201309,70.0
201310,52.6
201311,37.7
201312,22.3
201401,21.9
201402,21.9
201403,36.3
201404,51.1
201405,63.3
201406,71.8
201407,72.2
201408,74.2
201409,64.6
201410,55.4
201411,33.6
201412,31.4
201501,27.4
201502,21.3
201503,42.6
201504,53.8
201505,60.6
201506,72.2
201507,75.1
201508,72.1
201509,71.0
201510,56.4
201511,45.7
201512,34.4
201601,25.1
201602,35.3
201603,47.8
201604,54.3
201605,61.5
201606,76.7
201607,75.8
201608,74.4
201609,69.4
201610,57.9
201611,47.6
201612,26.2
