Merrimack County, New Hampshire, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.87
201002,4.64
201003,7.95
201004,2.30
201005,2.06
201006,3.33
201007,3.01
201008,2.84
201009,2.09
201010,7.86
201011,3.50
201012,3.82
201101,2.80
201102,3.48
201103,4.92
201104,4.94
201105,4.58
201106,4.84
201107,2.18
201108,9.08
201109,6.83
201110,6.75
201111,3.69
201112,4.33
201201,3.21
201202,1.04
201203,1.91
201204,2.65
201205,5.42
201206,4.51
201207,2.88
201208,4.64
201209,4.84
201210,5.55
201211,0.56
201212,5.09
201301,1.94
201302,3.63
201303,2.10
201304,2.59
201305,4.89
201306,7.83
201307,6.03
201308,3.09
201309,4.52
201310,1.14
201311,3.66
201312,3.54
201401,3.45
201402,4.25
201403,4.27
201404,2.90
201405,3.90
201406,3.93
201407,7.94
201408,4.01
201409,1.46
201410,5.62
201411,3.43
201412,6.05
201501,3.35
201502,2.83
201503,1.48
201504,2.39
201505,0.85
201506,6.16
201507,2.94
201508,3.89
201509,5.54
201510,3.96
201511,2.54
201512,5.13
201601,1.66
201602,4.83
201603,3.37
201604,1.99
201605,2.48
201606,2.42
201607,3.09
201608,2.85
201609,2.33
201610,5.24
201611,2.71
201612,3.89
