Gloucester County, New Jersey, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.0
201002,31.5
201003,47.9
201004,57.3
201005,66.0
201006,76.8
201007,80.0
201008,76.9
201009,71.2
201010,57.7
201011,46.8
201012,32.0
201101,28.9
201102,36.9
201103,43.1
201104,56.1
201105,66.0
201106,74.2
201107,80.7
201108,74.8
201109,70.3
201110,56.9
201111,50.6
201112,42.6
201201,37.5
201202,40.6
201203,51.5
201204,54.3
201205,67.0
201206,71.9
201207,80.1
201208,76.6
201209,68.7
201210,58.3
201211,42.9
201212,42.7
201301,35.8
201302,34.8
201303,40.2
201304,53.7
201305,63.2
201306,73.3
201307,79.5
201308,72.9
201309,66.2
201310,59.0
201311,44.5
201312,38.3
201401,28.3
201402,32.1
201403,37.7
201404,52.7
201405,63.9
201406,72.7
201407,76.1
201408,72.4
201409,68.3
201410,58.4
201411,43.5
201412,40.2
201501,30.2
201502,25.0
201503,38.3
201504,53.7
201505,68.2
201506,72.9
201507,77.1
201508,76.0
201509,72.4
201510,56.3
201511,51.5
201512,50.3
201601,33.3
201602,37.8
201603,49.3
201604,52.6
201605,61.5
201606,72.7
201607,79.4
201608,79.0
201609,71.7
201610,58.8
201611,48.3
201612,38.3
