Dona Ana County, New Mexico, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.89
201002,0.81
201003,0.09
201004,0.25
201005,0.01
201006,0.54
201007,4.08
201008,1.51
201009,1.16
201010,0.42
201011,0.00
201012,0.06
201101,0.00
201102,0.09
201103,0.00
201104,0.00
201105,0.00
201106,0.21
201107,1.97
201108,1.48
201109,0.77
201110,0.21
201111,0.45
201112,1.52
201201,0.60
201202,0.16
201203,0.05
201204,0.01
201205,0.55
201206,0.02
201207,1.48
201208,0.86
201209,1.35
201210,0.08
201211,0.03
201212,0.27
201301,0.19
201302,0.10
201303,0.02
201304,0.00
201305,0.07
201306,0.09
201307,2.94
201308,1.74
201309,3.40
201310,0.02
201311,0.26
201312,0.26
201401,0.00
201402,0.00
201403,0.31
201404,0.26
201405,0.02
201406,0.03
201407,1.99
201408,2.14
201409,4.03
201410,0.66
201411,0.37
201412,0.26
201501,1.35
201502,0.24
201503,0.40
201504,0.30
201505,0.84
201506,0.39
201507,3.65
201508,1.28
201509,0.35
201510,2.60
201511,0.73
201512,0.69
201601,0.32
201602,0.05
201603,0.00
201604,0.33
201605,0.71
201606,0.62
201607,0.57
201608,2.30
201609,1.78
201610,0.06
201611,0.46
201612,1.06
