Roosevelt County, New Mexico, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.60
201002,1.27
201003,1.09
201004,1.36
201005,1.49
201006,1.52
201007,3.29
201008,3.65
201009,1.55
201010,0.87
201011,0.34
201012,0.06
201101,0.02
201102,0.29
201103,0.03
201104,0.00
201105,0.04
201106,0.71
201107,1.82
201108,0.92
201109,1.57
201110,1.15
201111,0.10
201112,1.98
201201,0.00
201202,0.33
201203,0.23
201204,0.12
201205,0.90
201206,0.86
201207,1.93
201208,1.79
201209,1.23
201210,0.50
201211,0.04
201212,0.34
201301,0.58
201302,0.71
201303,0.06
201304,0.01
201305,0.32
201306,3.43
201307,2.71
201308,2.31
201309,3.49
201310,0.18
201311,0.73
201312,0.34
201401,0.00
201402,0.20
201403,0.26
201404,0.31
201405,3.19
201406,1.89
201407,3.80
201408,1.11
201409,3.32
201410,0.35
201411,0.56
201412,0.22
201501,1.62
201502,0.80
201503,0.64
201504,0.79
201505,5.00
201506,2.21
201507,5.31
201508,1.60
201509,1.25
201510,5.55
201511,0.51
201512,0.91
201601,0.21
201602,0.24
201603,0.00
201604,0.98
201605,1.71
201606,1.81
201607,0.80
201608,3.25
201609,2.85
201610,0.25
201611,1.37
201612,0.30
