Sierra County, New Mexico, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.21
201002,1.12
201003,0.27
201004,1.30
201005,0.12
201006,0.72
201007,4.39
201008,1.82
201009,0.91
201010,0.58
201011,0.00
201012,0.18
201101,0.00
201102,0.18
201103,0.00
201104,0.00
201105,0.00
201106,0.04
201107,1.64
201108,2.14
201109,1.23
201110,0.68
201111,0.63
201112,2.76
201201,0.16
201202,0.39
201203,0.19
201204,0.05
201205,0.29
201206,0.06
201207,1.58
201208,1.66
201209,0.96
201210,0.07
201211,0.10
201212,0.55
201301,0.33
201302,0.09
201303,0.24
201304,0.05
201305,0.10
201306,0.14
201307,4.01
201308,2.17
201309,5.47
201310,0.18
201311,0.60
201312,0.52
201401,0.01
201402,0.03
201403,0.24
201404,0.44
201405,0.12
201406,0.04
201407,2.63
201408,2.87
201409,4.27
201410,0.73
201411,0.41
201412,0.31
201501,1.50
201502,0.38
201503,0.61
201504,0.18
201505,0.82
201506,1.49
201507,2.55
201508,1.54
201509,1.10
201510,1.67
201511,0.64
201512,0.45
201601,0.35
201602,0.04
201603,0.00
201604,0.84
201605,0.69
201606,0.50
201607,1.30
201608,3.36
201609,1.81
201610,0.41
201611,1.35
201612,1.26
