Humboldt County, Nevada, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.7
201002,35.9
201003,39.0
201004,42.5
201005,46.6
201006,61.2
201007,71.6
201008,67.4
201009,61.4
201010,51.7
201011,35.4
201012,33.5
201101,32.0
201102,31.6
201103,38.5
201104,41.0
201105,48.8
201106,58.9
201107,69.8
201108,70.8
201109,64.9
201110,50.3
201111,35.7
201112,29.5
201201,32.9
201202,33.4
201203,41.0
201204,48.3
201205,55.8
201206,62.2
201207,73.7
201208,73.5
201209,65.2
201210,51.4
201211,41.4
201212,29.3
201301,22.5
201302,33.5
201303,42.4
201304,46.1
201305,54.7
201306,65.4
201307,75.9
201308,71.0
201309,60.8
201310,46.1
201311,40.3
201312,25.4
201401,36.0
201402,38.5
201403,41.9
201404,47.5
201405,56.0
201406,64.0
201407,75.8
201408,69.0
201409,63.5
201410,53.5
201411,39.3
201412,34.9
201501,36.5
201502,41.4
201503,46.7
201504,46.2
201505,55.0
201506,70.4
201507,70.0
201508,71.3
201509,63.3
201510,55.8
201511,34.8
201512,30.0
201601,30.1
201602,39.2
201603,42.4
201604,50.3
201605,54.2
201606,66.6
201607,71.5
201608,71.6
201609,60.6
201610,50.3
201611,42.1
201612,26.9
