Niagara County, New York, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.62
201002,1.54
201003,2.10
201004,2.19
201005,2.79
201006,6.03
201007,2.78
201008,2.61
201009,2.69
201010,3.13
201011,3.23
201012,2.41
201101,1.55
201102,2.78
201103,3.85
201104,5.30
201105,6.47
201106,2.91
201107,2.04
201108,2.81
201109,4.66
201110,4.30
201111,2.94
201112,2.88
201201,2.86
201202,1.48
201203,1.45
201204,3.24
201205,1.78
201206,2.48
201207,1.22
201208,1.70
201209,4.63
201210,6.05
201211,0.77
201212,3.30
201301,2.01
201302,2.61
201303,0.58
201304,3.50
201305,3.30
201306,7.34
201307,4.23
201308,2.84
201309,3.44
201310,5.54
201311,2.34
201312,3.32
201401,1.60
201402,2.41
201403,1.83
201404,4.65
201405,2.72
201406,3.69
201407,5.91
201408,1.75
201409,2.98
201410,2.48
201411,2.14
201412,1.46
201501,1.93
201502,1.60
201503,0.98
201504,3.03
201505,2.61
201506,5.28
201507,1.90
201508,2.65
201509,4.32
201510,3.19
201511,1.09
201512,1.99
201601,1.02
201602,2.76
201603,2.65
201604,2.10
201605,1.08
201606,1.21
201607,2.41
201608,3.70
201609,2.38
201610,3.31
201611,2.26
201612,2.70
