Greene County, Ohio, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.8
201002,25.5
201003,43.0
201004,56.9
201005,64.4
201006,73.3
201007,75.5
201008,74.5
201009,67.4
201010,56.0
201011,43.0
201012,25.0
201101,24.3
201102,32.7
201103,41.8
201104,54.3
201105,62.5
201106,71.8
201107,78.5
201108,72.9
201109,63.8
201110,53.1
201111,48.2
201112,37.9
201201,33.1
201202,35.7
201203,53.9
201204,51.7
201205,67.7
201206,70.8
201207,78.1
201208,72.4
201209,64.4
201210,52.5
201211,40.3
201212,38.9
201301,31.4
201302,30.1
201303,35.4
201304,52.5
201305,64.4
201306,70.4
201307,72.6
201308,70.9
201309,65.9
201310,54.1
201311,39.8
201312,32.8
201401,20.6
201402,24.9
201403,36.1
201404,53.3
201405,62.8
201406,71.8
201407,69.9
201408,72.0
201409,64.4
201410,53.7
201411,36.8
201412,35.4
201501,26.2
201502,19.2
201503,38.0
201504,53.3
201505,66.6
201506,70.9
201507,72.5
201508,70.0
201509,68.5
201510,55.3
201511,47.6
201512,44.1
201601,27.8
201602,34.3
201603,48.3
201604,51.7
201605,60.2
201606,72.7
201607,75.0
201608,76.2
201609,69.4
201610,59.1
201611,46.9
201612,31.6
