Licking County, Ohio, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.4
201002,24.9
201003,41.9
201004,55.0
201005,63.0
201006,71.7
201007,74.1
201008,73.9
201009,65.4
201010,53.8
201011,41.1
201012,24.1
201101,22.6
201102,30.1
201103,40.1
201104,52.6
201105,61.9
201106,69.7
201107,76.3
201108,71.2
201109,64.0
201110,52.5
201111,46.4
201112,37.1
201201,31.8
201202,35.3
201203,51.6
201204,50.6
201205,66.4
201206,69.9
201207,77.0
201208,71.2
201209,62.6
201210,52.2
201211,39.5
201212,37.4
201301,30.2
201302,28.9
201303,35.5
201304,51.4
201305,62.9
201306,69.3
201307,72.4
201308,69.8
201309,63.6
201310,54.1
201311,38.9
201312,32.2
201401,20.1
201402,23.7
201403,35.1
201404,51.8
201405,61.8
201406,70.2
201407,69.0
201408,70.4
201409,63.3
201410,52.6
201411,36.8
201412,35.3
201501,24.7
201502,17.8
201503,36.4
201504,51.8
201505,64.6
201506,69.6
201507,71.2
201508,69.5
201509,67.8
201510,53.9
201511,47.4
201512,43.4
201601,27.2
201602,33.9
201603,47.3
201604,50.6
201605,59.3
201606,71.4
201607,74.6
201608,75.5
201609,68.6
201610,57.1
201611,45.0
201612,30.7
