Sandusky County, Ohio, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.7
201002,25.8
201003,41.0
201004,54.4
201005,63.2
201006,72.3
201007,76.1
201008,74.6
201009,66.0
201010,54.8
201011,41.6
201012,24.5
201101,22.3
201102,27.1
201103,37.2
201104,49.0
201105,60.8
201106,71.4
201107,78.2
201108,72.2
201109,64.3
201110,53.3
201111,46.8
201112,36.2
201201,31.5
201202,34.1
201203,51.5
201204,49.3
201205,65.5
201206,71.2
201207,78.1
201208,71.2
201209,63.2
201210,52.6
201211,39.7
201212,37.0
201301,29.8
201302,28.2
201303,34.6
201304,48.3
201305,64.0
201306,70.0
201307,73.0
201308,70.8
201309,65.0
201310,54.9
201311,39.0
201312,30.0
201401,17.7
201402,19.7
201403,30.2
201404,49.9
201405,61.4
201406,71.4
201407,69.9
201408,71.4
201409,64.1
201410,53.0
201411,36.5
201412,35.0
201501,22.0
201502,14.7
201503,34.1
201504,50.0
201505,64.7
201506,69.0
201507,71.4
201508,70.7
201509,69.0
201510,55.2
201511,46.9
201512,42.8
201601,28.0
201602,32.9
201603,44.6
201604,47.2
201605,59.8
201606,71.7
201607,76.0
201608,76.1
201609,68.9
201610,57.7
201611,46.4
201612,30.0
