Tuscarawas County, Ohio, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.95
201002,1.84
201003,2.73
201004,2.15
201005,3.80
201006,8.72
201007,3.98
201008,2.65
201009,3.30
201010,2.57
201011,4.73
201012,1.43
201101,1.48
201102,4.53
201103,5.13
201104,6.69
201105,4.39
201106,6.89
201107,3.90
201108,5.75
201109,4.36
201110,4.65
201111,4.61
201112,4.09
201201,2.96
201202,1.88
201203,2.91
201204,1.36
201205,2.47
201206,2.60
201207,4.00
201208,2.20
201209,4.54
201210,4.85
201211,0.66
201212,4.56
201301,1.81
201302,2.03
201303,1.87
201304,3.30
201305,1.99
201306,7.80
201307,5.18
201308,1.65
201309,1.74
201310,2.87
201311,3.33
201312,3.62
201401,1.90
201402,2.20
201403,2.08
201404,5.77
201405,4.10
201406,5.70
201407,4.87
201408,7.05
201409,0.91
201410,2.37
201411,1.85
201412,2.85
201501,2.22
201502,1.57
201503,3.70
201504,4.23
201505,3.42
201506,7.55
201507,3.61
201508,1.16
201509,3.10
201510,2.34
201511,1.74
201512,3.55
201601,1.16
201602,3.56
201603,3.61
201604,3.82
201605,3.28
201606,2.04
201607,2.67
201608,3.76
201609,3.94
201610,3.62
201611,1.30
201612,3.85
