Cleveland County, Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.3
201002,36.8
201003,49.6
201004,62.5
201005,68.2
201006,80.7
201007,81.8
201008,84.6
201009,75.6
201010,63.1
201011,52.2
201012,40.9
201101,36.1
201102,40.4
201103,53.8
201104,63.4
201105,67.8
201106,83.7
201107,89.7
201108,89.0
201109,71.6
201110,62.9
201111,50.9
201112,41.0
201201,43.5
201202,44.7
201203,60.8
201204,65.1
201205,72.0
201206,77.9
201207,85.9
201208,82.8
201209,75.0
201210,60.7
201211,53.3
201212,42.9
201301,41.3
201302,42.7
201303,48.9
201304,54.7
201305,66.6
201306,77.7
201307,79.8
201308,80.6
201309,76.1
201310,61.7
201311,47.8
201312,35.6
201401,37.7
201402,37.4
201403,47.2
201404,61.1
201405,69.8
201406,77.6
201407,79.2
201408,81.5
201409,74.8
201410,66.2
201411,45.1
201412,42.9
201501,39.1
201502,39.1
201503,52.5
201504,62.4
201505,66.9
201506,78.7
201507,81.8
201508,79.4
201509,77.1
201510,64.1
201511,52.0
201512,46.1
201601,39.3
201602,49.3
201603,56.0
201604,62.5
201605,67.1
201606,79.3
201607,83.4
201608,81.9
201609,76.1
201610,68.1
201611,56.9
201612,40.1
