Payne County, Oklahoma, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.60
201002,1.88
201003,1.89
201004,2.67
201005,6.38
201006,6.75
201007,4.14
201008,3.03
201009,3.13
201010,1.62
201011,1.64
201012,0.39
201101,0.30
201102,2.67
201103,0.77
201104,2.27
201105,4.54
201106,1.73
201107,0.55
201108,2.33
201109,2.87
201110,2.56
201111,3.50
201112,2.45
201201,0.96
201202,2.62
201203,4.53
201204,4.76
201205,1.09
201206,2.31
201207,0.23
201208,2.63
201209,1.42
201210,1.12
201211,0.69
201212,0.67
201301,1.81
201302,3.20
201303,0.72
201304,5.29
201305,6.17
201306,5.12
201307,5.99
201308,4.08
201309,2.16
201310,2.33
201311,1.54
201312,0.77
201401,0.16
201402,0.46
201403,1.42
201404,1.08
201405,1.40
201406,7.16
201407,4.69
201408,1.58
201409,3.47
201410,3.41
201411,2.03
201412,0.77
201501,0.46
201502,1.18
201503,1.46
201504,4.12
201505,9.51
201506,3.67
201507,4.47
201508,3.34
201509,3.74
201510,2.56
201511,5.50
201512,4.06
201601,0.22
201602,1.04
201603,2.50
201604,5.79
201605,3.39
201606,1.79
201607,5.89
201608,2.21
201609,2.61
201610,3.32
201611,0.87
201612,0.37
