Sherman County, Oregon, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,37.2
201002,40.3
201003,42.8
201004,46.2
201005,51.3
201006,58.9
201007,69.3
201008,67.7
201009,61.1
201010,51.3
201011,38.2
201012,33.0
201101,36.7
201102,35.3
201103,41.1
201104,43.0
201105,50.5
201106,58.8
201107,65.7
201108,69.7
201109,65.5
201110,51.5
201111,39.3
201112,33.0
201201,35.1
201202,36.8
201203,41.2
201204,48.9
201205,53.6
201206,58.6
201207,69.6
201208,71.2
201209,64.4
201210,51.1
201211,42.0
201212,34.7
201301,30.8
201302,39.0
201303,43.4
201304,48.4
201305,56.4
201306,63.4
201307,73.0
201308,71.0
201309,63.4
201310,48.6
201311,38.4
201312,31.6
201401,34.8
201402,32.3
201403,43.7
201404,48.9
201405,56.9
201406,61.9
201407,74.1
201408,72.4
201409,63.2
201410,56.0
201411,37.8
201412,34.7
201501,37.0
201502,42.9
201503,48.4
201504,48.1
201505,59.1
201506,70.4
201507,73.4
201508,71.5
201509,60.7
201510,55.9
201511,37.9
201512,34.3
201601,34.2
201602,42.4
201603,44.0
201604,54.4
201605,57.9
201606,64.6
201607,68.3
201608,71.2
201609,60.4
201610,50.1
201611,46.0
201612,28.4
