Indiana County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,24.3
201002,23.8
201003,40.9
201004,52.0
201005,60.1
201006,68.8
201007,72.2
201008,70.3
201009,62.9
201010,50.8
201011,40.8
201012,24.0
201101,21.8
201102,29.2
201103,36.5
201104,50.5
201105,61.1
201106,67.5
201107,73.4
201108,68.9
201109,64.2
201110,50.4
201111,45.2
201112,35.4
201201,29.6
201202,34.3
201203,47.8
201204,47.2
201205,64.0
201206,66.1
201207,73.3
201208,68.9
201209,61.6
201210,51.8
201211,37.5
201212,35.8
201301,28.9
201302,26.4
201303,32.6
201304,49.7
201305,58.7
201306,66.8
201307,71.6
201308,67.2
201309,60.8
201310,52.6
201311,36.8
201312,32.1
201401,18.9
201402,22.5
201403,30.9
201404,48.5
201405,58.5
201406,67.5
201407,68.1
201408,66.9
201409,62.1
201410,52.5
201411,35.9
201412,34.3
201501,23.0
201502,15.8
201503,32.0
201504,49.5
201505,62.7
201506,67.2
201507,70.1
201508,67.6
201509,66.6
201510,50.6
201511,45.6
201512,42.5
201601,24.4
201602,30.7
201603,43.6
201604,47.6
201605,57.5
201606,67.2
201607,72.4
201608,73.3
201609,66.0
201610,54.0
201611,41.7
201612,31.5
