Lawrence County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,25.4
201002,25.3
201003,41.8
201004,53.3
201005,61.0
201006,70.1
201007,73.8
201008,73.0
201009,64.5
201010,52.6
201011,41.5
201012,24.4
201101,23.1
201102,29.8
201103,37.3
201104,50.4
201105,60.9
201106,69.2
201107,75.2
201108,71.5
201109,65.6
201110,52.2
201111,46.6
201112,35.2
201201,30.4
201202,34.8
201203,49.4
201204,47.7
201205,65.5
201206,68.2
201207,75.3
201208,70.5
201209,62.8
201210,52.8
201211,39.2
201212,36.8
201301,29.4
201302,27.6
201303,34.0
201304,49.3
201305,61.1
201306,67.7
201307,72.4
201308,68.7
201309,63.0
201310,54.6
201311,38.2
201312,31.8
201401,19.3
201402,23.7
201403,31.0
201404,49.0
201405,60.9
201406,68.6
201407,68.3
201408,68.6
201409,63.3
201410,53.2
201411,36.9
201412,35.6
201501,23.7
201502,15.5
201503,33.3
201504,50.4
201505,64.0
201506,68.2
201507,71.1
201508,69.5
201509,68.6
201510,52.9
201511,47.1
201512,43.2
201601,25.9
201602,31.2
201603,44.4
201604,48.1
201605,58.6
201606,68.8
201607,73.4
201608,75.0
201609,68.1
201610,55.4
201611,43.3
201612,30.9
