Perry County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.2
201002,28.9
201003,45.6
201004,54.8
201005,62.8
201006,72.5
201007,76.1
201008,73.2
201009,66.5
201010,54.1
201011,42.8
201012,28.7
201101,25.3
201102,31.7
201103,39.6
201104,52.3
201105,63.3
201106,71.0
201107,77.5
201108,72.0
201109,66.4
201110,52.6
201111,45.9
201112,37.3
201201,32.6
201202,36.5
201203,49.5
201204,51.1
201205,65.3
201206,69.0
201207,77.2
201208,72.3
201209,64.4
201210,54.2
201211,39.6
201212,37.3
201301,31.0
201302,30.2
201303,37.0
201304,51.5
201305,60.4
201306,70.1
201307,75.9
201308,70.3
201309,63.6
201310,55.6
201311,39.9
201312,32.7
201401,21.6
201402,26.1
201403,33.5
201404,49.5
201405,60.9
201406,69.9
201407,72.3
201408,68.8
201409,65.3
201410,55.6
201411,38.9
201412,35.7
201501,25.3
201502,19.7
201503,34.8
201504,51.1
201505,66.1
201506,69.9
201507,73.0
201508,72.0
201509,68.4
201510,52.6
201511,47.9
201512,42.8
201601,26.9
201602,31.8
201603,45.2
201604,48.9
201605,58.9
201606,69.9
201607,76.2
201608,75.7
201609,68.8
201610,55.4
201611,44.4
201612,32.9
