Clark County, South Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.83
201002,0.77
201003,1.43
201004,1.98
201005,2.96
201006,6.06
201007,5.34
201008,2.19
201009,5.51
201010,1.35
201011,0.14
201012,1.81
201101,1.14
201102,1.38
201103,1.45
201104,2.07
201105,3.92
201106,3.28
201107,3.83
201108,1.57
201109,0.62
201110,0.57
201111,0.22
201112,0.33
201201,0.38
201202,1.36
201203,0.53
201204,3.96
201205,2.91
201206,2.22
201207,1.00
201208,2.06
201209,0.26
201210,2.44
201211,0.23
201212,0.95
201301,0.41
201302,1.26
201303,0.87
201304,2.06
201305,3.84
201306,5.14
201307,3.98
201308,0.84
201309,3.03
201310,4.72
201311,0.05
201312,0.82
201401,0.36
201402,0.14
201403,0.77
201404,1.15
201405,3.02
201406,5.46
201407,1.16
201408,3.41
201409,0.55
201410,0.69
201411,0.58
201412,0.75
201501,0.35
201502,0.33
201503,0.29
201504,0.59
201505,4.26
201506,3.26
201507,4.14
201508,4.46
201509,0.70
201510,1.79
201511,1.25
201512,1.14
201601,0.42
201602,0.71
201603,0.74
201604,2.65
201605,2.48
201606,1.66
201607,3.03
201608,4.75
201609,2.12
201610,2.27
201611,1.64
201612,1.36
