Putnam County, Tennessee, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,6.71
201002,3.74
201003,3.41
201004,2.12
201005,7.79
201006,4.29
201007,4.99
201008,7.88
201009,1.77
201010,2.83
201011,6.25
201012,3.62
201101,3.78
201102,4.58
201103,8.14
201104,10.84
201105,4.51
201106,8.23
201107,3.60
201108,0.96
201109,7.13
201110,2.89
201111,8.38
201112,6.21
201201,5.03
201202,4.20
201203,5.79
201204,1.81
201205,2.44
201206,2.07
201207,6.07
201208,5.38
201209,7.66
201210,4.15
201211,1.98
201212,6.41
201301,7.05
201302,2.27
201303,6.21
201304,7.17
201305,5.79
201306,5.40
201307,8.49
201308,5.49
201309,4.07
201310,1.51
201311,3.81
201312,7.16
201401,3.01
201402,5.10
201403,4.15
201404,7.05
201405,2.28
201406,5.37
201407,4.41
201408,5.55
201409,3.02
201410,9.74
201411,4.76
201412,6.34
201501,3.29
201502,4.39
201503,5.44
201504,5.25
201505,2.77
201506,6.01
201507,9.93
201508,5.06
201509,3.96
201510,3.75
201511,6.09
201512,9.00
201601,3.41
201602,6.75
201603,2.76
201604,2.81
201605,4.16
201606,5.25
201607,6.38
201608,3.77
201609,2.93
201610,0.94
201611,3.70
201612,7.95
