Camp County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,41.7
201002,40.8
201003,52.7
201004,65.0
201005,74.9
201006,83.1
201007,83.2
201008,86.6
201009,78.4
201010,64.5
201011,56.2
201012,45.3
201101,42.2
201102,48.2
201103,58.6
201104,67.4
201105,71.0
201106,84.6
201107,88.5
201108,90.6
201109,76.6
201110,65.6
201111,56.8
201112,46.5
201201,49.4
201202,51.1
201203,64.2
201204,68.0
201205,74.6
201206,80.0
201207,83.4
201208,83.0
201209,76.9
201210,63.2
201211,55.3
201212,50.0
201301,47.4
201302,49.5
201303,52.9
201304,61.5
201305,70.1
201306,79.5
201307,80.3
201308,83.8
201309,79.4
201310,64.9
201311,50.5
201312,43.5
201401,41.4
201402,45.8
201403,52.0
201404,62.6
201405,70.6
201406,79.0
201407,79.7
201408,81.3
201409,77.2
201410,68.2
201411,50.3
201412,49.5
201501,43.6
201502,44.1
201503,55.1
201504,65.5
201505,72.1
201506,79.8
201507,85.2
201508,83.5
201509,78.9
201510,68.3
201511,57.8
201512,53.2
201601,45.9
201602,53.5
201603,60.0
201604,65.6
201605,70.0
201606,80.0
201607,84.4
201608,82.5
201609,78.0
201610,70.1
201611,60.1
201612,48.8
